0=正確|Correct
1=會話不正確|Invalid Session
2=合約找不到|Instrument Not Found
3=會員找不到|Participant Not Found
4=投資者找不到|Investor Not Found
5=報單系統號找不到|Order_sys ID Not Found
6=報單字段錯誤|Invalid Order Field
7=報價字段錯誤|Invalid Quote Field
8=報單操作字段錯誤|Invalid Order-action Field
9=報價操作字段錯誤|Invalid Quote-action Field
10=OTC報單字段錯誤|Invalid OTC-order Field
11=合約狀態字段錯誤|Invalid Instrument-status Field
12=重復的報單|Duplicate Order
13=重復的報價|Duplicate Quote
14=重復的OTC報單|Duplicate OTC-order
15=客戶沒有在該會員開戶|Client is not Related to Participant
16=IOC需在連續交易階段|IOC-order can Only be Applied in Continous Trading
17=GFA需在集合競價階段|GFA-oder can Only be Applied in Auction Trading
18=市價單不能排隊|Market-order can't Queue
19=數量約束應在IOC單上|Volume Constrain can Only Apply to IOC-order
20=GTD報單過期了|GTD-order Expired
21=最小數量大於報單數量|MinVolumn of the Order Exceed Volumn
22=交易所數據沒有同步|Exchange-date is Not Sync
23=結算組數據沒有同步|Settlementgroup is Not Sync
24=報單找不到|Order Not Found
25=報價找不到|Quote Not Found
26=當前合約狀態禁止此項操作|Invalid Instrument Status
27=不合法的合約狀態遷移|Invalid Instrument Status Shift
28=報單已經全部成交|Order Had All Traded
29=報單已經撤銷|Order Had Canceled
30=沒有足夠的數量供修改|No Enough Volume to Modify
31=平倉時客戶持倉不足|No Enough ClientPosition to Close
32=超出客戶限倉|Client Position Exceed Limit
33=平倉時會員持倉不足|No Enough Participant Position to Close
34=超出會員限倉|Participant Position Exceed Limit
35=找不到帳號|Account Not Found
36=資金不足|Insufficient Money
37=不合法的數量|Invalid Volume
38=數據同步狀態不正確|Insuitable Datasync Status
39=交易所同步狀態錯誤|Exchange Datasync Status Change Invalid
40=結算組同步時禁止操作|Insuitable Settlementgroup Datasync-status
41=結算組同步狀態錯誤|Settlementgroup Datasync Status Change Invalid
42=有結算組處於同步狀態|Not All Settlementgroup Asynchronous
43=有合約處於非收盤狀態|Not All Instrument Closed
44=數據初始化狀態不對|Invalid Datasync Status While Initing
45=結算組初始化狀態不對|Invalid Settlementgroup Datasync Status While Initing
46=交易所數據未初始化|Exchange-data is Not Synchronized
47=結算組找不到|Settlementgroup Not Found
48=價格非最小單位的倍數|Price Not on Tick
49=價格超出漲停板|Price out of Upper Bound
50=價格跌破跌停板|Price out of Lower Bound
51=沒有交易權限|No Trading Right
52=只能平倉|Close Only
53=沒有此項交易角色|Invalid Trading Role
54=會話找不到|Session Not Found
55=還沒有登錄|Not Login Yet
56=僅管理員可以做此操作|Only Trade Manager Can DO This
57=不能為其他會員操作|Can Not Operate For Other Participant
58=用戶不匹配|User Mismatch
59=用戶重復登錄|User Relogin
60=用戶名或口令錯誤|Invalid User Or Password
61=非交易用戶的登錄|Not Trader Login
62=用戶不活躍|User Not Active
64=用戶不屬於此會員|User Not Belong To This Participant
65=錯誤的登錄IP地址|Invalid Login IP Address
66=用戶尚未登錄|User Not Login
67=並沒有以此用戶登錄|Not Logined By This User
68=並沒有以此會員登錄|Not Logined By This Participant
69=非交易控制用戶的登錄|Not Trademanager Login
70=報價已經被取消|Quote Had Canceled
71=不能操作衍生報單|Can Not Operate Derived Order
72=不允許自然人開倉|Not Allow Person Open
73=熔斷期間不能交易|Can Not Trade During Fuse
74=期轉現找不到期貨合約|No Future Contract For ETF
75=前置不活躍|Front is Not Action
76=報單已經被掛起|Order Had Suspended
77=報單已經被激活|Order Had Actived
78=GTD報單沒有設定日期|GTD-order Date Missed
79=不被支持的報單類型|Unsupport Order Type
80=用戶無此權限|User No Permission
81=要操作的用戶未登錄|Target User Not Login
82=做市商不能做期轉現|Market-maker Can Not EFP
83=止損單僅用於連續交易|Stop-order Only Apply to Continous Trading
84=止損單需是IOC或GFD|Stop-order Must Be IOC Or GFD
85=組合合約不能插入報價|Can Not Insert Quote For Combination
86=組合合約不能插OTC單|Can Not Insert OTC-order For Combination
87=組合合約不能插入成交|Can Not Insert Trade For Combination
88=未找到要操作的用戶|User Not Found
89=執行宣告字段錯誤|Invalid Execorder Field
90=執行宣告操作字段錯誤|Invalid Execorder Action Field
91=重復的執行宣告|Duplicate Execorder
92=執行宣告已經取消|Execorder Had Canceled
93=執行宣告找不到|Execorder Not Found
94=執行宣告只能用於期權|Execorder Only For Options
95=止損報單需說明止損價|Stop-order Must Have Stop Price
96=保值額度不足|Not Enough Hedge Volume
97=重復的操作|Dupicate Action
98=強平單需由管理員使用|Force Close Only Used By Administrator
99=不能為其他用戶操作|Can Not Action For Other User
100=錯誤的用戶類型|Invalid User Type
101=結算會員不能做交易|Settlement Member Can Not Trade
102=無法找到對應結算會員|Related Settlement Member Not Found
103=當日套保倉位不能平倉|Can Not Close Today For Hegdge
104=不明管理指令|Unkown Admin-order
105=做市商不能做套保|Market-maker Can Not Do Hedge
106=重復的會話|Duplicate Session
107=無此功能的權限|No Function Right
108=需結算會員做此操作|Only Clearing Participant Can Do This
109=結算交易會員不匹配|Clearing Trading Participant is Not Related
